"program_id","program_label","marker","measured_in_object","ledger_evidence_class","ledger_gap_type","completion_status","no_suitable_primary_source_found","support_level","human_t_cell_scope","proposed_rationale_wording","claim_scope_and_limits","source_title","year","pmid","pmcid","doi","pubmed_url","source_url","exact_locator","located_support_summary","source_type","masopust_used_as_marker_support","notes"
"th1_like","Th1-like","CXCR3","True","cited_review_not_located","review passage not independently located and no primary locator in ledger","primary_gap_closed","False","direct_primary_human_full_text","Polarized human cord-blood T-cell lines plus antigen-specific human Th1 and Th2 clones","CXCR3 is a human Th1-associated chemokine receptor and trafficking marker; it is preferentially expressed by polarized Th1 cells and supports responsiveness to CXCR3 ligands, but is not Th1- or CD4-specific.","Supports preferential Th1 association and chemotaxis, not lineage identity; CXCR3 is also expressed by activated CD8, NK, and other CXCR3-positive CD4 states.","Differential expression of chemokine receptors and chemotactic responsiveness of type 1 T helper cells (Th1s) and Th2s.","1998","9419219","PMC2199181","10.1084/jem.187.1.129","https://pubmed.ncbi.nlm.nih.gov/9419219/","https://pmc.ncbi.nlm.nih.gov/articles/PMC2199181/","Full text, Results and Discussion, paragraph beginning 'We generated Th1 and Th2 lines'; Figure 2B (CXCR1-4 Northern blot), Figure 3 (antigen-specific Th1 versus Th2 clones), and Figure 4 (IP-10 chemotaxis).","CXCR3 expression was selective for polarized human Th1 cells with a reported 6.7-fold Th1-versus-Th2 difference, confirmed in antigen-specific clones; IP-10 induced greater Th1 chemotaxis.","primary research article","False","Replaces review-only provenance with a direct human source; Masopust is not used."
"th1_like","Th1-like","IL12RB2","True","cited_review_not_located","review passage not independently located; registry rationale said required for commitment","rationale_overstatement_corrected","False","direct_primary_human_full_text","Human Th1 and Th2 lines and clones; activation and cytokine polarization of human naive T cells","IL12RB2 encodes the signaling IL-12 receptor beta-2 chain, which is selectively enriched in human Th1 versus Th2 cells and is induced during Th1-polarizing activation; do not describe it as required for Th1 commitment on this evidence.","Directly supports selective expression, regulation, high-affinity IL-12 binding, and IL-12 responsiveness. It does not establish that IL12RB2 is universally required for human Th1 commitment.","Selective expression of an interleukin-12 receptor component by human T helper 1 cells.","1997","9120388","PMC2196163","10.1084/jem.185.5.825","https://pubmed.ncbi.nlm.nih.gov/9120388/","https://pmc.ncbi.nlm.nih.gov/articles/PMC2196163/","Full text, Results section 'Selective Expression of the IL-12R beta2 Chain in Th1 Cells'; Figure 3A-B (Th1 versus Th2 lines and clones), Figure 4 (activation and cytokine regulation), and Figure 5 (IL-12 binding).","IL-12R beta-2 transcripts were selectively expressed in established human Th1 but not Th2 lines and clones; activation induced the transcript, IL-12 enhanced it, and IL-4 suppressed it. High-affinity IL-12 binding was detected in Th1 lines.","primary research article","False","Explicitly removes the word required from the proposed rationale; Masopust is not used."
"th2_like","Th2-like","IL4","True","directly_supported_review","review-only support in ledger","primary_gap_closed","False","direct_primary_human_full_text","Ex vivo and stimulated human CD4 T cells, allergen-specific responses, and short-term human Th2 lines from healthy and allergic donors","IL4 is a human Th2-associated cytokine frequently coexpressed with IL13; use it as a type-2 cytokine-program component, not as a lineage-exclusive marker or as proof of a master-driver state.","Supports expression within human Th2 responses. IL4 is also produced by Tfh and other immune cells, and RNA abundance does not by itself demonstrate a causal differentiation role.","Hierarchical IL-5 expression defines a subpopulation of highly differentiated human Th2 cells.","2011","21849680","PMC3445433","10.4049/jimmunol.1101283","https://pubmed.ncbi.nlm.nih.gov/21849680/","https://pmc.ncbi.nlm.nih.gov/articles/PMC3445433/","Full text, Results section 'IL-5 expression is restricted to a minority subpopulation of IL-4+, IL-5+, IL-13+ Th2 cells'; Figure 1A-I, especially 1B and 1D-G.","Across human CD4 systems and donors, IL4 and IL13 were highly coexpressed and each was detected in roughly 70-80% of the operationally defined Th2 response.","primary research article","False","Narrows the registry phrase signature cytokine / master driver to an expression-based module rationale; Masopust is not used."
"th2_like","Th2-like","IL5","True","directly_supported_review","review-only support in ledger","primary_gap_closed","False","direct_primary_human_full_text","Ex vivo and stimulated human CD4 T cells, allergen-specific responses, and short-term human Th2 lines from healthy and allergic donors","IL5 is a human Th2 effector cytokine enriched in a minority, more highly differentiated Th2 subpopulation; it is not a universal Th2 marker.","Supports a differentiated Th2 effector substate. IL5 is expressed by only a minority of Th2 cells in this study and is also produced by non-T-cell type-2 effectors.","Hierarchical IL-5 expression defines a subpopulation of highly differentiated human Th2 cells.","2011","21849680","PMC3445433","10.4049/jimmunol.1101283","https://pubmed.ncbi.nlm.nih.gov/21849680/","https://pmc.ncbi.nlm.nih.gov/articles/PMC3445433/","Full text, Results section 'IL-5 expression is restricted to a minority subpopulation of IL-4+, IL-5+, IL-13+ Th2 cells'; Figure 1A and 1C-G; Discussion opening paragraph.","IL5 was confined to about 17-23% of Th2 cells in the main donor groups, while IL5-positive cells usually coexpressed IL4 and IL13 and showed features of greater differentiation.","primary research article","False","Adds the key minority-subpopulation limitation; Masopust is not used."
"th2_like","Th2-like","IL13","True","directly_supported_review","review-only support in ledger","primary_gap_closed","False","direct_primary_human_full_text","Ex vivo and stimulated human CD4 T cells, allergen-specific responses, and short-term human Th2 lines from healthy and allergic donors","IL13 is a human Th2-associated effector cytokine frequently coexpressed with IL4; use it as a type-2 cytokine-program component, not a lineage-exclusive marker.","Supports expression in human Th2 responses. IL13 is shared with ILC2 and other type-2 states and therefore does not establish CD4 or Th2 identity alone.","Hierarchical IL-5 expression defines a subpopulation of highly differentiated human Th2 cells.","2011","21849680","PMC3445433","10.4049/jimmunol.1101283","https://pubmed.ncbi.nlm.nih.gov/21849680/","https://pmc.ncbi.nlm.nih.gov/articles/PMC3445433/","Full text, Results section 'IL-5 expression is restricted to a minority subpopulation of IL-4+, IL-5+, IL-13+ Th2 cells'; Figure 1A-I, especially 1B and 1D-G.","IL13 and IL4 were each detected in roughly 70-80% of the operationally defined Th2 response and were commonly coexpressed in human donor and allergen-specific systems.","primary research article","False","Replaces review-only support with direct human CD4 data; Masopust is not used."
"th17_like","Th17-like","IL23R","True","not_in_cited_source","not located in registry-cited source","primary_gap_closed","False","direct_primary_human_full_text","Freshly isolated human memory CD3+CD4+CD45RO+ T cells and in-vitro-polarized human Th17 cells from genotyped healthy donors","IL23R is a human memory-Th17-associated receptor that marks IL-23 responsiveness and supports Th17 effector signaling; it should not be described as required for the initial differentiation step or as Th17-exclusive.","Directly supports IL23R-plus-CCR6 phenotyping and IL-23-dependent IL17A/STAT3 effector signaling. The source explicitly separates effector response from initial Th17 differentiation.","The IL23R R381Q gene variant protects against immune-mediated diseases by impairing IL-23-induced Th17 effector response in humans.","2011","21364948","PMC3043090","10.1371/journal.pone.0017160","https://pubmed.ncbi.nlm.nih.gov/21364948/","https://pmc.ncbi.nlm.nih.gov/articles/PMC3043090/","Full text, Results section 'Study of circulating Th17 cells in IL23R R381Q gene variant carriers', Figure 1A; Results on IL-23-induced effector response, Figure 6A-D; Discussion paragraph beginning 'A key finding'.","The study defined circulating human Th17 cells as IL-23R+CCR6+ within memory helper T cells and showed that the protective IL23R variant reduced IL-23-induced IL17A production and STAT3 phosphorylation without materially changing Th17 differentiation.","primary research article","False","Uses an association-and-function rationale rather than an unqualified maintenance or necessity claim; Masopust is not used."
"th17_like","Th17-like","KLRB1","True","partially_miscited","Acosta-Rodriguez citation did not support CD161; correct source needed","miscitation_repaired","False","direct_primary_human_full_text","Human circulating CD4 T-cell clones, ex vivo adult blood CD4 T cells, umbilical-cord and thymic CD4 precursors, and inflamed human tissues","KLRB1/CD161 is a human Th17-associated surface marker and precursor feature, but it has low specificity and should not be treated as sufficient for Th17 identity.","Directly supports enrichment in human Th17 clones and containment of IL17-producing cells in the CD161-positive fraction in the studied systems. CD161 is broadly present on NK, NKT, MAIT, CD8, and other CD4 populations.","Human interleukin 17-producing cells originate from a CD161+CD4+ T cell precursor.","2008","18663128","PMC2525581","10.1084/jem.20080397","https://pubmed.ncbi.nlm.nih.gov/18663128/","https://pmc.ncbi.nlm.nih.gov/articles/PMC2525581/","Full text, Results section 'Human Th17, but neither Th1 nor Th2, clones express CD161 on their surface', Figure 1A-C; next Results section, Figure 2A-B; Abstract for precursor scope.","CD161/KLRB1 was strongly enriched in human Th17 clones relative to Th1 and Th2 clones; IL17-producing circulating CD4 cells were found in the CD161-positive fraction, with RORC and IL23R enriched in CD161+CCR6+ cells.","primary research article","False","Corrects the ledger miscitation from Acosta-Rodriguez 2007 to Cosmi 2008 and retains the low-specificity warning; Masopust is not used."
"tfh_like","Tfh-like","CXCR5","True","directly_supported_review","review-only support in ledger","primary_gap_closed","False","direct_primary_human_full_text","Human tonsillar and peripheral-blood memory T cells, including CD4-enriched CXCR5-positive populations and tonsillar T-cell/B-cell cocultures","CXCR5 is a human follicular-homing and B-cell-helper-associated receptor used to mark a Tfh-like program; it is not Tfh- or CD4-specific in mixed-cell data because B cells also express CXCR5.","Directly supports follicular localization, chemotaxis, and B-cell helper function of human CXCR5-positive T cells. It does not make CXCR5 sufficient for Tfh identity.","CXC chemokine receptor 5 expression defines follicular homing T cells with B cell helper function.","2000","11104798","PMC2193097","10.1084/jem.192.11.1553","https://pubmed.ncbi.nlm.nih.gov/11104798/","https://pmc.ncbi.nlm.nih.gov/articles/PMC2193097/","Full text, Results sections 'CXCR5+ T Cells in Blood and Tonsils' and 'B Cell Helper Function of CXCR5+ T Cells'; Table I and Figure 3B; follicular localization in Figures 4-5.","More than 90% of human CXCR5-positive blood T cells were CD4 memory cells; tonsillar CXCR5-positive T cells localized to follicles and induced substantially more IgG and IgA than CXCR5-negative T cells in B-cell coculture.","primary research article","False","Primary human source replaces Crotty review-only provenance; Masopust is not used."
"tfh_like","Tfh-like","BCL6","True","directly_supported_review","review-only support in ledger","primary_gap_closed","False","direct_primary_human_full_text","Primary human tonsillar CD4 Tfh and GC-Tfh subsets, with BCL6 transduction of sorted human CD4 T cells","BCL6 is a central human Tfh-program transcriptional regulator that is enriched in CXCR5-positive tonsillar Tfh cells and can induce major Tfh migration and T:B-interaction modules; it is not T-cell-specific because germinal-center B cells also express BCL6.","Directly supports enrichment and causal induction of a Tfh-like program in human CD4 T cells. It does not support BCL6 as a CD4- or cell-type-exclusive readout.","Bcl6 and Maf cooperate to instruct human follicular helper CD4 T cell differentiation.","2012","22427637","PMC3324673","10.4049/jimmunol.1103246","https://pubmed.ncbi.nlm.nih.gov/22427637/","https://pmc.ncbi.nlm.nih.gov/articles/PMC3324673/","Full text, Results section 'Bcl6 protein is expressed by human Tfh and GC Tfh', Figure 1A-C; section 'Bcl6 instructs the conversion of Tfh to GC Tfh', Figure 2C-D and 2K; Figure 3 for conversion of CXCR5-negative CD4 cells.","CXCR5-high and CXCR5-intermediate human tonsillar CD4 subsets expressed more BCL6 protein than CXCR5-negative cells; experimental BCL6 expression increased CXCR5 and other migration and T:B-interaction genes in primary human CD4 cells.","primary research article","False","Primary human mechanistic source replaces Crotty review-only provenance; Masopust is not used."
"tfh_like","Tfh-like","IL21","True","directly_supported_review","review-only support in ledger","primary_gap_closed","False","direct_primary_human_full_text","Primary human tonsillar CXCR5-intermediate Tfh and CXCR5-high GC-Tfh CD4 subsets, B-cell coculture, and human CD4 transduction experiments","IL21 is a prominent human Tfh/GC-Tfh helper cytokine and supports a Tfh-like effector program, but it is shared with other CD4 and innate-like lymphocyte states and is not sufficient for Tfh identity.","Directly supports production by human tonsillar Tfh populations and IL21-dependent B-cell help. The same article shows that BCL6 alone is not sufficient to induce IL21 and that Maf can enhance it.","Bcl6 and Maf cooperate to instruct human follicular helper CD4 T cell differentiation.","2012","22427637","PMC3324673","10.4049/jimmunol.1103246","https://pubmed.ncbi.nlm.nih.gov/22427637/","https://pmc.ncbi.nlm.nih.gov/articles/PMC3324673/","Full text, Results section 'Bcl6 protein is expressed by human Tfh and GC Tfh', Figure 1D (IL21-dependent IgM help); section 'Helper cytokines IL-4 and IL-21', Figure 5; section 'Maf induces IL-21 secretion', Figure 7B-C.","Human CXCR5-positive tonsillar Tfh subsets provided largely IL21-dependent B-cell help; GC-Tfh cells produced IL21, frequently with IL4, and Maf transduction increased IL21 production in primary human CD4 cells.","primary research article","False","Primary human source replaces Crotty review-only provenance while retaining cross-program sharing; Masopust is not used."
"treg_like","Treg-like","IKZF2","True","partially_miscited","Thornton supported thymic-origin hypothesis, not stability; human activation counterevidence needed","rationale_miscitation_corrected","False","primary_human_full_text_counterevidence","Human PBMC CD4 T cells, human CD4+FOXP3+ Tregs, human CD4 and CD8 responder cells, plus parallel murine experiments","IKZF2/Helios is enriched in activated human Tregs but is also induced by T-cell activation and proliferation; do not call it a Treg-stability marker or a reliable thymic-origin discriminator.","This human primary study directly undercuts stability and origin-specific wording. Helios can remain a bounded, activation-overlapping Treg-associated module component, not a lineage-stability claim.","Helios expression is a marker of T cell activation and proliferation.","2011","21918685","PMC3168881","10.1371/journal.pone.0024226","https://pubmed.ncbi.nlm.nih.gov/21918685/","https://pmc.ncbi.nlm.nih.gov/articles/PMC3168881/","Abstract; Results Figure 1B (human Treg-associated markers), Figure 3E-F and Figure 4 (activation/division in human responders), Figure 6B (CD3/CD28 plus or minus IL2), and Discussion conclusion.","Helios was enriched with human Treg-associated markers but was induced in activated and dividing human CD4 and CD8 cells and declined after resting; the authors concluded it was unsuitable for distinguishing natural from induced Tregs.","primary research article","False","Thornton 2010 may remain only as the original thymic-origin hypothesis; neither Thornton nor Masopust supports stability."
"treg_like","Treg-like","CTLA4","True","not_in_cited_source","no registry source covered CTLA4","primary_gap_closed","False","direct_primary_human_full_text","Freshly isolated and activated human peripheral-blood CD4+CD25+ cells with measured anergy and contact-dependent suppressive activity","CTLA4 is enriched intracellularly and persists after activation in suppressive human CD4+CD25+ regulatory cells; treat it as a Treg-associated checkpoint with substantial activation overlap, not as a Treg-specific identity marker or a proven sole effector mechanism.","Directly supports expression in a functionally regulatory human population. In this study, CTLA4 blockade did not reverse suppression, so the source should not be stretched to prove that CTLA4 alone mediates suppressive function.","Identification and functional characterization of human CD4(+)CD25(+) T cells with regulatory properties isolated from peripheral blood.","2001","11390435","PMC2193380","10.1084/jem.193.11.1285","https://pubmed.ncbi.nlm.nih.gov/11390435/","https://pmc.ncbi.nlm.nih.gov/articles/PMC2193380/","Full text, Results paragraph immediately before Figure 2 and Figure 2A-B; suppression and blocking experiments in Figures 4 and 6; Discussion paragraph on CTLA4.","A CD45RO-positive subset of freshly isolated human CD4+CD25+ cells contained intracellular CTLA4 and displayed prolonged surface CTLA4 after activation while showing anergy and suppression. Blocking results did not establish CTLA4 as the operative suppressive mechanism.","primary research article","False","Replaces uncited association with direct human evidence and weakens the registry's effector-molecule implication; Masopust is not used."
"treg_like","Treg-like","CCR8","True","not_in_cited_source","no registry source covered CCR8","primary_gap_closed","False","direct_primary_human_full_text","FOXP3+ Tregs and conventional CD4 T cells from treatment-naive human breast tumors, normal breast tissue, blood, and several additional solid tumors","CCR8 marks an activated tissue/tumor-resident human Treg state and is enriched over conventional CD4 T cells in multiple tumors; it is context-dependent and should not be treated as a universal peripheral-Treg marker.","Directly supports a tissue/tumor Treg association, functional CCL1 chemotaxis, and activation context. The article also identifies NKT expression and much lower peripheral-blood Treg expression.","Regulatory T Cells Exhibit Distinct Features in Human Breast Cancer.","2016","27851913","PMC5134901","10.1016/j.immuni.2016.10.032","https://pubmed.ncbi.nlm.nih.gov/27851913/","https://pmc.ncbi.nlm.nih.gov/articles/PMC5134901/","Full text, Results sections 'CCR8 is Expressed by Intratumoral Treg Cells' and preceding CCR8 differential-expression paragraph; Figure 6A-D (cell-type and tumor comparisons), Figure 6E (CCL1 chemotaxis), and Figure 7B-E (activation/proliferation context).","CCR8 was strongly enriched on human tumor-resident FOXP3+ Tregs relative to Tconv cells across breast and other solid tumors, supported by more than 70 breast-cancer samples; CCR8-positive tumor Tregs migrated toward CCL1.","primary research article","False","Narrows tissue/effector wording to the human tumor/tissue context actually tested; Masopust is not used."
"treg_like","Treg-like","TNFRSF18","True","not_in_cited_source","no registry source covered TNFRSF18/GITR","primary_gap_closed","False","direct_primary_human_full_text","Cloned human peripheral-blood CD25+CD4+ T cells functionally classified as suppressive or nonsuppressive","TNFRSF18/GITR is associated with suppressive human CD25+CD4+ T-cell clones, but it is also activation-induced on conventional effector T cells; use it as a Treg-associated costimulatory-receptor component, not a Treg-specific marker or proof of suppressive necessity.","Directly supports higher expression and correlation with suppressive capacity. The same source found no reversal with anti-GITR or recombinant ligand and explicitly states that GITR is not specific because activated effector CD4 cells express it.","Human CD25+CD4+ T suppressor cell clones produce transforming growth factor beta, but not interleukin 10, and are distinct from type 1 T regulatory cells.","2002","12438424","PMC2193983","10.1084/jem.20021139","https://pubmed.ncbi.nlm.nih.gov/12438424/","https://pmc.ncbi.nlm.nih.gov/articles/PMC2193983/","Full text, Results section 'Expression of CTLA-4 and GITR on CD25+CD4+ T Cell Clones', Figure 6 and the following functional paragraph; Discussion paragraph beginning 'Suppressive and nonsuppressive clones'.","Suppressive human CD25+CD4+ clones expressed four- to sixfold more GITR than nonsuppressive clones, with a significant expression-function correlation; perturbation did not establish a causal suppressive role, and activated effector expression limits specificity.","primary research article","False","Closes the uncited gap with a source that contains its own activation/specificity caveat; Masopust is not used."
