record_id,program_id,program_label,marker,row_scope,base_program_id,provenance_inherited,counted_unique_gap,measured_in_object,pre_audit_state,completion_status,support_level,species_lineage_scope,claim_scope_limit,pmid,pmcid,doi,title,year,source_url,exact_locator,corroborating_pmid,corroborating_pmcid,corroborating_doi,corroborating_title,corroborating_year,corroborating_url,corroborating_locator,proposed_rationale_wording,notes
ctl_klrd1,cd4_ctl_like,CD4 CTL-like,KLRD1,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_mixed_CD4_CD8_CTL_cluster,human_hCMV_reactive_CD4_and_CD8_T_cells,"Mixed CD4/CD8 CTL cluster; supports shared cytotoxic T-cell RNA association, not CD4 specificity, identity, or receptor function.",38501302,PMC7616077,10.1111/imm.13783,Single-cell transcriptomic and T cell antigen receptor analysis of human cytomegalovirus (hCMV)-specific memory T cells reveals effectors and pre-effectors of CD8(+)- and CD4(+)-cytotoxic T cells.,2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC7616077/,"Results section 'hCMV-reactive CD4-CTLs and CD8-CTLs show similar transcriptomic profile': paragraphs P30-P32; Fig. 5d plots KLRD1 RNA along the CTL trajectory; paragraph P31 identifies higher KLRD1 in CTL pre-effector cluster 4; Fig. 5g and paragraph P32 establish comparable CD4/CD8 representation and broadly shared within-cluster transcriptomes.",,,,,,,,"KLRD1 RNA is associated with a primary human hCMV-reactive cytotoxic T-cell pre-effector program that contains both CD4 and CD8 cells; it is not a CD4-CTL-specific identity marker.","Best exact human source found; stronger and more directly relevant than treating CD94 biology or NK expression as support."
naive_tcf7,diff_naive,Naive-like,TCF7,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_CD4_resting_naive_TCM_axis,human_resting_CD4_T_cells,"Resting CD4 cluster was interpreted by the authors as naive or TCM; does not distinguish naive from central memory or establish stemness function.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Results 'scRNA-seq analysis of human T cells in blood and tissues' states that resting CD4 T cells express CCR7, SELL and TCF7 and correspond to naive or TCM; Fig. 1c maps donor 1 cluster 1 and donor 2 cluster 1 to CD4 rest; Supplementary Data 3 worksheet cluster1 row 16 (FDR 0; log2_effect 1.2172) and Supplementary Data 4 worksheet cluster1 row 14 (FDR 0; log2_effect 1.2222).",,,,,,,,"TCF7 RNA supports a resting human CD4 naive/central-memory axis; it should not be read as naive-specific identity or as proof of stemness.","Supplement file 41467_2019_12464_MOESM5_ESM.xlsx (Data 3) and MOESM6 (Data 4); cluster labels visually checked in Fig. 1c."
naive_lef1,diff_naive,Naive-like,LEF1,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_CD4_resting_naive_TCM_axis,human_resting_CD4_T_cells,"Resting CD4 cluster was interpreted as naive or TCM; direct RNA enrichment does not establish naive specificity or transcription-factor function.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 1 cluster 1 and donor 2 cluster 1 to CD4 rest; Supplementary Data 3 worksheet cluster1 row 29 (FDR 3.09e-301; log2_effect 1.2480) and Supplementary Data 4 worksheet cluster1 row 51 (FDR 1.20e-189; log2_effect 1.0359).",,,,,,,,"LEF1 RNA supports a resting human CD4 naive/central-memory axis; it should not be read as naive-specific identity or as proof of stemness.","Direct RNA-table support added because LEF1 was absent from the registry-cited Gattinoni paper."
naive_mal,diff_naive,Naive-like,MAL,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_CD4_resting_axis_with_human_CD4_protein_corroboration,human_resting_CD4_T_cells,"RNA enrichment is in resting CD4 clusters; orthogonal protein study shows naive and central-memory expression, so MAL is not naive-exclusive.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 1 cluster 1 to CD4 rest and donor 2 cluster 2 to CD4 rest 2; Supplementary Data 3 worksheet cluster1 row 809 (FDR 2.16e-9; log2_effect 0.2056) and Supplementary Data 4 worksheet cluster2 row 3 (FDR 0; log2_effect 1.5821).",33345332,PMC8248321,10.1002/eji.202048603,Differentiation and activation of human CD4 T cells is associated with a gradual loss of myelin and lymphocyte protein,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8248321/,"Results 'MAL is preferentially expressed on naive and central memory CD4 T cells,' Fig. 6A-B (nine human donors); Discussion states naive CD4 cells were uniformly MAL-positive while most CCR7+ CM cells were also positive.","MAL RNA is associated with a resting human CD4 state and is enriched on naive relative to effector-memory cells, while overlap with central memory prevents a naive-specific interpretation.","Resolves the previously wholly unsourced MAL row with direct RNA evidence plus orthogonal human CD4 subset evidence."
act_cd69,diff_activated,Activated,CD69,base_program_gap,,False,True,True,cited_review_not_located,primary_source_located_bounded,direct_primary_human_scRNA_CD4_activation_cluster,human_anti_CD3_CD28_activated_tissue_CD4_T_cells,"Activation-cluster RNA association; CD69 also occurs in resident and other activated states, so it is not an identity marker.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1a defines anti-CD3/anti-CD28 activation and Fig. 1c maps donor 1 cluster 4 to CD4 act 3 and donor 2 cluster 4 to CD4 act 2; Supplementary Data 3 worksheet cluster4 row 21 (FDR 9.67e-90; log2_effect 1.0865) and Supplementary Data 4 worksheet cluster4 row 61 (FDR 2.89e-295; log2_effect 1.1900).",,,,,,,,"CD69 RNA is enriched in primary human activated CD4 T-cell clusters; it supports an activation-associated RNA component, not a distinct cell identity.","Direct primary RNA support replaces the inaccessible review passage."
act_il2ra,diff_activated,Activated,IL2RA,base_program_gap,,False,True,True,directly_supported_review,primary_source_located_bounded,direct_primary_human_scRNA_CD4_activation_cluster,human_anti_CD3_CD28_activated_tissue_CD4_T_cells,"Activation-cluster RNA association; IL2RA is also constitutive/high in Treg states and therefore is not activation-specific.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1a defines anti-CD3/anti-CD28 activation and Fig. 1c maps donor 1 cluster 4 to CD4 act 3 and donor 2 cluster 4 to CD4 act 2; Supplementary Data 3 worksheet cluster4 row 51 (FDR 5.02e-54; log2_effect 1.1884) and Supplementary Data 4 worksheet cluster4 row 23 (FDR 0; log2_effect 1.8643).",,,,,,,,"IL2RA RNA is enriched in primary human activated CD4 T-cell clusters; it supports an activation-associated RNA component but overlaps Treg expression.","Upgrades review-only support to direct human primary RNA evidence."
act_cd38,diff_activated,Activated,CD38,base_program_gap,,False,True,True,cited_review_not_located,primary_source_located_bounded,primary_human_scRNA_module_use_plus_direct_human_T_cell_protein_induction,human_MAIT_scRNA_plus_human_CD4_CD8_stimulation,"The RNA source operationalizes CD38 inside an activation score rather than independently selecting it; the orthogonal experiment is protein-level. This is bounded module support, not RNA-specific mechanistic validation.",34394094,PMC8363247,10.3389/fimmu.2021.700152,Single-Cell Transcriptomic Profiling of MAIT Cells in Patients With COVID-19,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8363247/,"Methods 'Defining Cell State Scores' explicitly includes CD38 among nine activation-related genes in a single-cell RNA activation score; Results 'Features of MAIT Cells' and Fig. 3A apply that score; Discussion explicitly distinguishes this RNA-level scoring system from protein-level activation markers.",18382686,PMC2271052,10.1371/journal.pone.0001915,"Toll-like receptor ligands induce human T cell activation and death, a model for HIV pathogenesis",2008,https://pmc.ncbi.nlm.nih.gov/articles/PMC2271052/,"Results 'TLR ligands can induce early activation marker expression,' Fig. 1 (CD4 and CD8 human T cells); Fig. 4B shows induction on purified memory CD4 T cells after overnight poly I:C or anti-CD3 exposure.","CD38 has primary human support as an activation-associated T-cell marker and has been used in a human single-cell RNA activation score; within this panel it should be read only as activation-associated RNA, not as identity or mechanism.","Most bounded completion row: direct RNA evidence is module use, while direct induction evidence is protein-level."
act_mki67,diff_activated,Activated,MKI67,base_program_gap,,False,True,True,cited_review_not_located,primary_source_located_bounded,direct_primary_human_scRNA_TCR_stimulated_cell_cycle,human_primary_CD8_T_cells_two_donors,"MKI67 tracks the cycling/proliferative arm after stimulation and is not activation-specific; any cycling cell can express it.",30449619,PMC6689405,10.1016/j.cell.2018.10.024,Genome-wide CRISPR Screens in Primary Human T Cells Reveal Key Regulators of Immune Function,2018,https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/,"Results 'SLICE Paired with Single Cell RNA-Seq': paragraph P19 states stimulated human T cells induced cell-cycle genes including MKI67; Fig. 4B and caption P81 show MKI67 RNA on the resting/re-stimulated single-cell map; paragraph P21 places MKI67 in activation/cell-cycle clusters 10-12.",,,,,,,,"MKI67 RNA supports the proliferating/cycling arm of a stimulated human T-cell program; it should not be interpreted as activation-specific or as a cell identity marker.","Direct human primary RNA support; CD8-centric and proliferation-generic scope retained."
act_tnfrsf9,diff_activated,Activated,TNFRSF9,base_program_gap,,False,True,True,cited_review_not_located,primary_source_located_bounded,direct_primary_human_scRNA_CD4_activation_cluster,human_anti_CD3_CD28_activated_tissue_CD4_T_cells,"Activation-cluster RNA association; TNFRSF9 also occurs in activated Treg and chronically stimulated states.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 2 clusters 4 and 5 to CD4 act 2 and CD4 act 3; Supplementary Data 4 worksheet cluster4 row 1664 (FDR 6.65e-42; log2_effect 1.1746) and worksheet cluster5 row 53 (FDR 3.05e-145; log2_effect 2.1461).",,,,,,,,"TNFRSF9 RNA is enriched in primary human activated CD4 T-cell clusters; it supports an activation-associated RNA component, not a distinct identity.","Direct primary RNA support replaces the inaccessible review passage."
mem_itgal,diff_memory,Memory / adhesion-like,ITGAL,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_bulk_RNAseq_CD8_memory,human_blood_CD4_and_CD8_memory_four_donors,"Authors report higher expression in CD8 memory T cells; this is lineage-biased and not memory-specific across all T cells.",37012418,PMC10070634,10.1038/s42003-023-04747-9,Distinct transcriptomic and epigenomic modalities underpin human memory T cell subsets and their activation potential,2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10070634/,"Results 'The shared transcriptional programs of human CD4+ and CD8+ MTC,' paragraph Par7; Fig. 1e. Four-donor sorted human blood RNA-seq reports ITGAL/CD11a and ITGA4/VLA4 expressed more highly in CD8+ memory T cells.",,,,,,,,"ITGAL RNA is associated with a human CD8 memory T-cell transcriptional profile and can support the adhesion-like portion of the module; it is not memory- or CD4-specific.","Four-donor direct RNA evidence; claim deliberately limited to association."
mem_fas,diff_memory,Memory / adhesion-like,FAS,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_CD8_EM_TRM_rest_replicated,human_tissue_CD8_memory_two_donors,"Enrichment is in resting CD8 EM/TRM clusters; FAS also marks activation/apoptosis and is not memory-specific.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 1 cluster 8 and donor 2 cluster 7 to CD8 EM/TRM rest; Supplementary Data 3 worksheet cluster8 row 121 (FDR 2.06e-67; log2_effect 1.9725) and Supplementary Data 4 worksheet cluster7 row 28 (FDR 2.64e-40; log2_effect 1.3814).",,,,,,,,"FAS RNA is enriched in resting human CD8 effector-/tissue-resident-memory clusters; it supports a memory/activation-associated RNA component, not memory identity.","Replicated across both tissue donors, but CD8 and activation overlap remain explicit."
mem_cd58,diff_memory,Memory / adhesion-like,CD58,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_one_donor_CD8_EM_TRM_rest,human_tissue_CD8_memory_one_donor,"One-donor resting CD8 EM/TRM enrichment only; CD58 is broadly expressed, so support is weak for memory specificity and limited to module association.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 1 cluster 8 to CD8 EM/TRM rest; Supplementary Data 3 worksheet cluster8 row 1396 (FDR 5.60e-20; log2_effect 1.6110).",,,,,,,,"CD58 RNA was enriched in one primary human resting CD8 effector-/tissue-resident-memory cluster and can support an adhesion-like RNA component; it is not a memory-specific marker.","Bounded one-donor evidence; no stronger exact human memory-specific primary locator was located."
mem_itga4,diff_memory,Memory / adhesion-like,ITGA4,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_bulk_RNAseq_CD8_memory,human_blood_CD4_and_CD8_memory_four_donors,"Authors report higher expression in CD8 memory T cells; this is lineage-biased and not memory-specific across all T cells.",37012418,PMC10070634,10.1038/s42003-023-04747-9,Distinct transcriptomic and epigenomic modalities underpin human memory T cell subsets and their activation potential,2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10070634/,"Results 'The shared transcriptional programs of human CD4+ and CD8+ MTC,' paragraph Par7; Fig. 1e. Four-donor sorted human blood RNA-seq reports ITGAL/CD11a and ITGA4/VLA4 expressed more highly in CD8+ memory T cells.",,,,,,,,"ITGA4 RNA is associated with a human CD8 memory T-cell transcriptional profile and can support the adhesion-like portion of the module; it is not memory- or CD4-specific.","Four-donor direct RNA evidence; claim deliberately limited to association."
mem_s100a4,diff_memory,Memory / adhesion-like,S100A4,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_one_donor_CD8_EM_TRM_rest,human_tissue_CD8_memory_one_donor,"One-donor resting CD8 EM/TRM enrichment; S100A4 is broadly expressed in activated, stromal, and myeloid contexts and is not memory-specific.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 1 cluster 8 to CD8 EM/TRM rest; Supplementary Data 3 worksheet cluster8 row 1229 (FDR 4.74e-22; log2_effect 0.4747).",,,,,,,,"S100A4 RNA was enriched in one primary human resting CD8 effector-/tissue-resident-memory cluster; it supports a memory-associated RNA component but not memory identity or function.","Weatherly 2015 is mouse-based; this human scRNA source is used instead for the RNA association."
mem_cd27,diff_memory,Memory / adhesion-like,CD27,base_program_gap,,False,True,True,cited_review_not_located,primary_source_located_bounded,direct_primary_human_scRNA_one_donor_CD8_EM_TRM_activated,human_tissue_CD8_memory_one_donor,"Enrichment is in an activated CD8 EM/TRM cluster; CD27 also occurs in naive and non-terminal memory and is not a general memory-specific marker.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Fig. 1c maps donor 1 cluster 10 to CD8 EM/TRM act; Supplementary Data 3 worksheet cluster10 row 190 (FDR 0.00102; log2_effect 0.4732).",,,,,,,,"CD27 RNA was enriched in one primary human activated CD8 effector-/tissue-resident-memory cluster; it supports a non-terminal memory-associated RNA component, not memory identity.","Bounded one-donor evidence; primary human TSCM phenotype evidence exists, but this locator was selected because it directly measures RNA."
chk_pdcd1,diff_checkpoint,Checkpoint-high,PDCD1,base_program_gap,,False,True,True,directly_supported_review,primary_source_located_bounded,direct_primary_human_scRNA_CD4_and_CD8_neoTCR_TIL,human_CD4_and_CD8_neoantigen_reactive_TIL,"Tumor/neoantigen-reactive dysfunctional TIL context; PDCD1 is also activation-induced and does not by itself establish exhaustion, tumor specificity, or function.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14 beginning 'Restricting the gene expression analysis'; Fig. 2G-H and Table S8 show PDCD1 among genes shared by verified CD4+ and CD8+ NeoTCR-expressing TILs. Paragraph P16 explicitly evaluates PDCD1 within minimal activation/dysfunction RNA gene sets.",,,,,,,,"PDCD1 RNA is part of a primary human CD4/CD8 tumor-reactive dysfunctional T-cell expression program; it supports a checkpoint-high RNA component but not exhaustion identity or function.","Direct primary RNA source replaces review-only support."
chk_tox,diff_checkpoint,Checkpoint-high,TOX,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_CD4_and_CD8_neoTCR_TIL,human_CD4_and_CD8_neoantigen_reactive_TIL,"Human tumor TIL RNA association only; does not establish a universal master regulator, function, or CD4 identity.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14 beginning 'Restricting the gene expression analysis'; Fig. 2G-H and Table S8 show TOX among genes shared by verified CD4+ and CD8+ NeoTCR-expressing TILs. Paragraph P16 explicitly evaluates TOX within minimal activation/dysfunction RNA gene sets.",,,,,,,,"TOX RNA is part of a primary human CD4/CD8 tumor-reactive dysfunctional T-cell expression program; it supports a checkpoint-high RNA association without claiming master-regulator function or cell identity.","Specifically resolves the Wherry-2015 zero-hit gap with a human primary RNA source rather than relying only on mouse/CD8 mechanism papers."
chk_havcr2,diff_checkpoint,Checkpoint-high,HAVCR2,base_program_gap,,False,True,True,directly_supported_review,primary_source_located_bounded,direct_primary_human_scRNA_CD8_neoTCR_TIL,human_CD8_neoantigen_reactive_TIL,"Direct source is CD8-specific in this passage; HAVCR2 is also activation-induced and does not establish exhaustion identity or function.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14: CD8+ NeoTCR TILs express HAVCR2 with LAG3 and ENTPD1; Fig. 2H and Table S8. Paragraph P16 explicitly evaluates HAVCR2 within minimal activation/dysfunction RNA gene sets.",,,,,,,,"HAVCR2 RNA is associated with a primary human CD8 tumor-reactive dysfunctional T-cell program; it supports a checkpoint-high RNA component but not CD4 transfer, exhaustion identity, or function.","Lineage transfer to CD4 remains unsupported by this exact locator and is not asserted."
chk_lag3,diff_checkpoint,Checkpoint-high,LAG3,base_program_gap,,False,True,True,directly_supported_review,primary_source_located_bounded,direct_primary_human_scRNA_CD4_and_CD8_neoTCR_TIL,human_CD4_and_CD8_neoantigen_reactive_TIL,"Tumor/neoantigen-reactive dysfunctional TIL context; LAG3 is also activation-induced and does not by itself establish exhaustion or function.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14; Fig. 2H and Table S8 show LAG3 among genes shared by verified CD4+ and CD8+ NeoTCR-expressing TILs, with an additional explicit CD8 statement. Paragraph P16 evaluates LAG3 in minimal activation/dysfunction RNA gene sets.",,,,,,,,"LAG3 RNA is part of a primary human CD4/CD8 tumor-reactive dysfunctional T-cell expression program; it supports a checkpoint-high RNA component but not exhaustion identity or function.","Direct primary RNA source replaces review-only support."
chk_tigit,diff_checkpoint,Checkpoint-high,TIGIT,base_program_gap,,False,True,True,directly_supported_review,primary_source_located_bounded,direct_primary_human_scRNA_CD4_and_CD8_neoTCR_TIL,human_CD4_and_CD8_neoantigen_reactive_TIL,"Tumor/neoantigen-reactive dysfunctional TIL context; TIGIT overlaps Treg and activation and does not establish exhaustion or function.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14; Fig. 2G-H and Table S8 show TIGIT among genes shared by verified CD4+ and CD8+ NeoTCR-expressing TILs. Paragraph P16 evaluates TIGIT in minimal activation/dysfunction RNA gene sets.",,,,,,,,"TIGIT RNA is part of a primary human CD4/CD8 tumor-reactive dysfunctional T-cell expression program; it supports a checkpoint-high RNA component but not exhaustion identity or function.","Direct primary RNA source replaces review-only support."
chk_entpd1,diff_checkpoint,Checkpoint-high,ENTPD1,base_program_gap,,False,True,True,not_in_cited_source,primary_source_located_bounded,direct_primary_human_scRNA_CD4_and_CD8_neoTCR_TIL,human_CD4_and_CD8_neoantigen_reactive_TIL,"Tumor/neoantigen-reactive dysfunctional TIL context; ENTPD1 overlaps Treg and activated states and does not establish ectoenzyme function or exhaustion identity.",35113651,PMC8996692,10.1126/science.abl5447,Molecular signatures of antitumor neoantigen-reactive T cells from metastatic human cancers,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8996692/,"Results paragraph P14; Fig. 2G-H and Table S8 show ENTPD1/CD39 among genes shared by verified CD4+ and CD8+ NeoTCR-expressing TILs, with an additional explicit CD8 statement. Paragraph P16 evaluates ENTPD1 in minimal activation/dysfunction RNA gene sets.",,,,,,,,"ENTPD1 RNA is part of a primary human CD4/CD8 tumor-reactive dysfunctional T-cell expression program; it supports a checkpoint-high RNA association without claiming exhaustion identity or ectoenzyme function.","Specifically resolves the Wherry-2015 zero-hit gap with human CD4-and-CD8 primary RNA evidence, improving on CD8-only Gupta attribution."
ctl_actadj_klrd1,cd4_ctl_like_actadj,CD4 CTL-like - activation-adjusted sensitivity,KLRD1,inherited_sensitivity_alias,cd4_ctl_like,True,False,True,inherited_gap_from_base,attribution_inherited_no_separate_source_needed,inherits_direct_primary_human_scRNA_mixed_CD4_CD8_CTL_cluster,human_hCMV_reactive_CD4_and_CD8_T_cells,"No separate biological program is validated; this is an algorithmic residualized sensitivity display and inherits all KLRD1 limits from the base row.",38501302,PMC7616077,10.1111/imm.13783,Single-cell transcriptomic and T cell antigen receptor analysis of human cytomegalovirus (hCMV)-specific memory T cells reveals effectors and pre-effectors of CD8(+)- and CD4(+)-cytotoxic T cells.,2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC7616077/,"Inherited from ctl_klrd1; base locator: Results P30-P32 and Fig. 5d/g-i. No separate source is needed or warranted for the residualized display.",,,,,,,,"Inherited from cd4_ctl_like: KLRD1 supports only a shared human cytotoxic T-cell RNA association; activation residualization does not create or validate a separate biological program.","counted_unique_gap=false; keep stage2_selectable=false and role_sensitivity_display_only."
pred_cd69,cd4_ctl_like_actadj_predictor,CD4 CTL-like activation-adjustment predictor,CD69,activation_predictor_alias,diff_activated,True,False,True,inherited_from_diff_activated,attribution_inherited_no_separate_source_needed,inherits_direct_primary_human_scRNA_CD4_activation_cluster,human_anti_CD3_CD28_activated_tissue_CD4_T_cells,"Algorithmic predictor attribution only; does not validate the residualized lane as a biological program.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Inherited from act_cd69; base locator: Fig. 1a/c and Supplementary Data 3 cluster4 row 21 plus Data 4 cluster4 row 61.",,,,,,,,"Inherited activation-predictor attribution: CD69 RNA is activation-associated in human CD4 T cells; using it for residualization does not validate a separate program or identity.","Predictor alias is not a panel row and is excluded from unique-gap counts."
pred_cd38,cd4_ctl_like_actadj_predictor,CD4 CTL-like activation-adjustment predictor,CD38,activation_predictor_alias,diff_activated,True,False,True,inherited_from_diff_activated,attribution_inherited_no_separate_source_needed,inherits_primary_human_scRNA_module_use_plus_protein_induction,human_MAIT_scRNA_plus_human_CD4_CD8_stimulation,"Algorithmic predictor attribution only; RNA support remains module-use plus protein induction and does not validate the residualized lane.",34394094,PMC8363247,10.3389/fimmu.2021.700152,Single-Cell Transcriptomic Profiling of MAIT Cells in Patients With COVID-19,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8363247/,"Inherited from act_cd38; base locator: Methods 'Defining Cell State Scores,' Results Fig. 3A, and Discussion RNA-level scoring caveat.",18382686,PMC2271052,10.1371/journal.pone.0001915,"Toll-like receptor ligands induce human T cell activation and death, a model for HIV pathogenesis",2008,https://pmc.ncbi.nlm.nih.gov/articles/PMC2271052/,"Fig. 1 and Fig. 4B show induced CD38 protein on human CD4/CD8 or purified memory CD4 T cells.","Inherited activation-predictor attribution: CD38 is activation-associated in human T cells; using its RNA for residualization does not validate a separate program or identity.","Predictor alias is not a panel row and is excluded from unique-gap counts."
pred_mki67,cd4_ctl_like_actadj_predictor,CD4 CTL-like activation-adjustment predictor,MKI67,activation_predictor_alias,diff_activated,True,False,True,inherited_from_diff_activated,attribution_inherited_no_separate_source_needed,inherits_direct_primary_human_scRNA_TCR_stimulated_cell_cycle,human_primary_CD8_T_cells_two_donors,"Algorithmic predictor attribution only; MKI67 is proliferation-generic and does not validate the residualized lane.",30449619,PMC6689405,10.1016/j.cell.2018.10.024,Genome-wide CRISPR Screens in Primary Human T Cells Reveal Key Regulators of Immune Function,2018,https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/,"Inherited from act_mki67; base locator: Results P19/P21 and Fig. 4B caption P81.",,,,,,,,"Inherited activation-predictor attribution: MKI67 RNA tracks cycling stimulated T cells; using it for residualization does not validate a separate program or identity.","Predictor alias is not a panel row and is excluded from unique-gap counts."
pred_tnfrsf9,cd4_ctl_like_actadj_predictor,CD4 CTL-like activation-adjustment predictor,TNFRSF9,activation_predictor_alias,diff_activated,True,False,True,inherited_from_diff_activated,attribution_inherited_no_separate_source_needed,inherits_direct_primary_human_scRNA_CD4_activation_cluster,human_anti_CD3_CD28_activated_tissue_CD4_T_cells,"Algorithmic predictor attribution only; does not validate the residualized lane as a biological program.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Inherited from act_tnfrsf9; base locator: Fig. 1c and Supplementary Data 4 cluster4 row 1664 plus cluster5 row 53.",,,,,,,,"Inherited activation-predictor attribution: TNFRSF9 RNA is activation-associated in human CD4 T cells; using it for residualization does not validate a separate program or identity.","Predictor alias is not a panel row and is excluded from unique-gap counts."
pred_il2ra,cd4_ctl_like_actadj_predictor,CD4 CTL-like activation-adjustment predictor,IL2RA,activation_predictor_alias,diff_activated,True,False,True,inherited_from_diff_activated,attribution_inherited_no_separate_source_needed,inherits_direct_primary_human_scRNA_CD4_activation_cluster,human_anti_CD3_CD28_activated_tissue_CD4_T_cells,"Algorithmic predictor attribution only; IL2RA overlaps Treg and does not validate the residualized lane.",31624246,PMC6797728,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6797728/,"Inherited from act_il2ra; base locator: Fig. 1a/c and Supplementary Data 3 cluster4 row 51 plus Data 4 cluster4 row 23.",,,,,,,,"Inherited activation-predictor attribution: IL2RA RNA is activation-associated but overlaps Treg; using it for residualization does not validate a separate program or identity.","Predictor alias is not a panel row and is excluded from unique-gap counts."
